...1,Marca:,Modelo Base:,Versão:,Ano:,Combustível:,Propulsão:,Configuração:,Garantia:,Lugares:,Portas:,Porte:,Procedência:,Valor FIPE:,Alimentação:,Aspiração:,cilindros,tipo_cilindro,Comando de Válvulas:,Disposição:,Instalação:,Razão de Compressão:,Válvulas por Cilindro:,Variação do Comando:,Acoplamento:,Câmbio:,Quantidade de Marchas:,Tração:,Pneus Dianteiros:,Pneus Traseiros:,Freios Dianteiros:,Freios Traseiros:,Suspensão Dianteira:,Elemento Elástico da Suspensão:,Suspensão Traseira:,Assistência de Direção:,Coeficiente de Arrasto:,url,id,Plataforma:,Código do Câmbio:,Acionamento do Comando:,Observações:,Código do Motor:,Geração:,Série:,Tuchos:,Pneu Estepe:,Capacidade de Bateria:,Potência de recarga:,Viscosidade do óleo:,valor_fipe,valor_data,garantia_em_anos,valvulas_por_cilindro,quantidade_de_marchas,geracao,coeficiente_de_arrasto
260,Audi,A6,A6 3.0 V6 TFSi Quattro,2013,Gasolina,Combustão,Sedã,2 anos,5,4,Grande,Importado,R$ 125.784 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,245/45 R18,245/45 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Eletro-hidráulica,"0,28",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,4,C7,Hidráulicos,NA,NA,NA,NA,125784,09/2024,2,4,7,4,0.28
261,Audi,A6 Avant,A6 Avant Allroad 3.0 V6 TFSi Quattro,2013,Gasolina,Combustão,Perua,2 anos,5,4,Grande,Importado,R$ 133.871 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,235/55 R18,235/55 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, multibraço",Elétrica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,4,C7,Hidráulicos,NA,NA,NA,NA,133871,09/2024,2,4,7,4,0.31
262,Audi,A6 Avant,A6 Avant 3.0 V6 TFSi Quattro,2014,Gasolina,Combustão,Perua,2 anos,5,4,Grande,Importado,R$ 129.099 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,225/55 R17,225/55 R17,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,4,C7,Hidráulicos,NA,NA,NA,NA,129099,09/2024,2,4,7,4,0.31
263,Audi,Q3,Q3 Ambition 2.0 TFSi Quattro,2013,Gasolina,Combustão,SUV,2 anos,5,4,Compacto,Importado,R$ 82.936 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,"9,6:1",4,Admissão,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,235/50 R18,235/50 R18,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ35,NA,NA,NA,EA888,1,8U,Hidráulicos,NA,NA,NA,NA,82936,09/2024,2,4,7,1,0.32
264,Audi,Q3,Q3 Ambiente 2.0 TFSi Quattro,2015,Gasolina,Combustão,SUV,2 anos,5,4,Compacto,Importado,R$ 91.022 (09/2024),Injeção direta e indireta multiponto,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,"9,6:1",4,Admissão,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,235/50 R18,235/50 R18,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ35,NA,NA,NA,EA888,1,8U,Hidráulicos,NA,NA,NA,NA,91022,09/2024,2,4,7,1,0.32
265,Audi,Q5,Q5 Ambition 3.0 V6,2013,Gasolina,Combustão,SUV,2 anos,5,4,Médio,Importado,R$ 121.760 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral permanente,235/55 R19,235/55 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Hidráulica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,EA837,1,8R,Hidráulicos,NA,NA,NA,NA,121760,09/2024,2,4,8,1,0.33
266,Audi,Rs 3,Rs 3 Sportback 2.5 TFSi Quattro,2013,Gasolina,Combustão,Hatch,2 anos,5,4,Médio,Importado,R$ 197.765 (09/2024),Injeção direta,Turbocompressor,5,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,10:1,4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,235/35 R19,225/35 R19,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,NA,NA,NA,EA855,3,NA,Hidráulicos,Kit de reparo e enchimento,NA,NA,NA,197765,09/2024,2,4,7,3,0.33
267,Audi,S7,S7 Sportback 4.0 V8 TFSi Quattro,2013,Gasolina,Combustão,Sedã,2 anos,4,4,Grande,Importado,R$ 233.141 (09/2024),Injeção direta,Turbocompressor,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,1:1",4,NA,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,255/40 R19,255/40 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, braços sobrepostos",Eletro-hidráulica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,233141,09/2024,2,4,7,1,0.3
268,Audi,A5,A5 Sportback Ambiente 2.0 TFSi,2012,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 77.217 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"9,6:1",4,Admissão e escape,Conversor de torque,CVT,8,Dianteira,225/50 R17,225/50 R17,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,EA888,1,8T,Hidráulicos,NA,NA,NA,NA,77217,09/2024,2,4,8,1,0.29
269,Audi,A5 Cabriolet,A5 Cabriolet 2.0 TFSi Quattro,2012,Gasolina,Combustão,Conversível,2 anos,4,2,Médio,Importado,R$ 162.894 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"9,6:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,225/50 R17,225/50 R17,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA888,1,8F,Hidráulicos,NA,NA,NA,NA,162894,09/2024,2,4,7,1,0.31
270,Audi,A5 Coupe,A5 Coupe 2.0 TFSi Quattro,2012,Gasolina,Combustão,Cupê,2 anos,4,2,Médio,Importado,R$ 92.177 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"9,6:1",4,NA,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,225/50 R17,225/50 R17,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA888,1,8T3,Hidráulicos,NA,NA,NA,NA,92177,09/2024,2,4,7,1,0.29
271,Audi,A6 Avant,A6 Avant 3.0 V6 TFSi Quattro,2012,Gasolina,Combustão,Perua,2 anos,5,4,Grande,Importado,R$ 123.670 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Conversor de torque,Automático,6,Integral permanente,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,EA837,4,C7,Hidráulicos,NA,NA,NA,NA,123670,09/2024,2,4,6,4,0.32
272,Audi,A8,A8 L 6.3 W12 FSi Quattro,2012,Gasolina,Combustão,Sedã,2 anos,4,4,Grande,Importado,R$ 323.861 (09/2024),Injeção direta,Natural,12,em W,Duplo no cabeçote,Longitudinal,Dianteiro,"11,8:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral permanente,255/45 R19,255/45 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, braços sobrepostos",Elétrica,"0,27",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,NA,3,NA,Hidráulicos,NA,NA,NA,NA,323861,09/2024,2,4,8,3,0.27
273,Audi,R8,R8 4.2 V8,2012,Gasolina,Combustão,Cupê,2 anos,2,2,Médio,Importado,R$ 631.542 (09/2024),Injeção direta,Natural,8,em V,Duplo no cabeçote,Longitudinal,Central,"12,5:1",4,NA,Embreagem monodisco a seco,Manual,6,Integral permanente,235/35 R19,295/30 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,34",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,1,42,NA,NA,NA,NA,NA,631542,09/2024,2,4,6,1,0.34
274,Audi,R8 Spyder,R8 Spyder GT 5.2 V10,2012,Gasolina,Combustão,Conversível,2 anos,2,2,Médio,Importado,R$ 782.359 (09/2024),Injeção direta,Natural,10,em V,"Duplo no cabeçote, corrente",Longitudinal,Central,"12,5:1",4,Admissão e escape,Embreagem monodisco a seco,Automatizado,6,Integral permanente,235/35 R19,295/30 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,R-Tronic,NA,NA,NA,1,42,Hidráulicos,NA,NA,NA,NA,782359,09/2024,2,4,6,1,0.37
275,Audi,S4 Avant,S4 Avant 3.0 V6 TFSi Quattro,2012,Gasolina,Combustão,Perua,2 anos,5,4,Médio,Importado,R$ 174.021 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,B8,DSG DL501,NA,NA,EA837,4,NA,Hidráulicos,NA,NA,NA,NA,174021,09/2024,2,4,7,4,0.33
276,Audi,S5,S5 Sportback 3.0 V6 Quattro,2012,Gasolina,Combustão,Sedã,2 anos,4,4,Médio,Importado,R$ 201.393 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,1,NA,Hidráulicos,NA,NA,NA,NA,201393,09/2024,2,4,7,1,0.3
277,Audi,S5 Cabriolet,S5 Cabriolet 3.0 V6 Quattro,2012,Gasolina,Combustão,Conversível,2 anos,4,2,Médio,Importado,R$ 231.754 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,1,NA,Hidráulicos,NA,NA,NA,NA,231754,09/2024,2,4,7,1,0.32
278,Audi,S5 Coupe,S5 Coupe 3.0 V6 Quattro,2012,Gasolina,Combustão,Cupê,2 anos,4,2,Médio,Importado,NA,Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,1,NA,Hidráulicos,NA,NA,NA,NA,NA,NA,2,4,7,1,0.3
279,Audi,Tt Rs,Tt Rs 2.5 TFSi Quattro,2012,Gasolina,Combustão,Cupê,2 anos,4,2,Médio,Importado,R$ 238.736 (09/2024),Injeção direta,Turbocompressor,5,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,10:1,4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,255/35 R19,255/35 R19,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ35,S-Tronic,NA,NA,EA855,2,8J,Hidráulicos,NA,NA,NA,NA,238736,09/2024,2,4,7,2,0.3
280,Audi,A1,A1 Attraction 1.4 TFSi,2011,Gasolina,Combustão,Hatch,2 anos,4,2,Compacto,Importado,R$ 56.471 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, correia dentada",Transversal,Dianteiro,10:1,4,Admissão,Embreagem dupla a seco,Automatizado,7,Dianteira,215/45 R16,215/45 R16,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,Eixo de torção,Eletro-hidráulica,"0,34",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ25,DSG DQ200,NA,NA,NA,1,NA,Hidráulicos,NA,NA,NA,NA,56471,09/2024,2,4,7,1,0.34
281,Audi,A3,A3 Sport 2.0 TFSi,2011,Gasolina,Combustão,Hatch,2 anos,5,2,Médio,Importado,R$ 62.399 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,"10,5:1",4,Admissão,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,225/45 R17,225/45 R17,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ35,DSG DQ250,NA,NA,EA888,2,8P,Hidráulicos,NA,NA,NA,NA,62399,09/2024,2,4,6,2,NA
282,Audi,A7,A7 3.0 V6 TFSi Quattro,2012,Gasolina,Combustão,Sedã,2 anos,4,4,Grande,Importado,R$ 134.796 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,255/40 R19,255/40 R19,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Hidráulica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA837,1,NA,Hidráulicos,NA,NA,NA,NA,134796,09/2024,2,4,7,1,0.29
283,Audi,A8,A8 4.2 V8 FSi Quattro,2011,Gasolina,Combustão,Sedã,2 anos,5,4,Grande,Importado,R$ 190.027 (09/2024),Injeção direta,Natural,8,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"12,5:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral permanente,235/60 R17,235/60 R17,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola pneumática,"Independente, braços sobrepostos",Hidráulica,"0,26",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,NA,3,NA,Hidráulicos,NA,NA,NA,NA,190027,09/2024,2,4,8,3,0.26
284,Audi,Q5,Q5 Ambiente 2.0 Turbo,2010,Gasolina,Combustão,SUV,2 anos,5,4,Médio,Importado,R$ 65.715 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"9,6:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,235/60 R18,235/60 R18,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Hidráulica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,EA888,1,8R,Hidráulicos,NA,NA,NA,NA,65715,09/2024,2,4,7,1,0.33
285,Audi,Q7,Q7 3.0 V6 TFSi,2012,Gasolina,Combustão,SUV,1 ano,7,4,Grande,Importado,R$ 99.376 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral permanente,275/45 R20,275/45 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,34",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PL71,NA,NA,NA,EA837,1,NA,Hidráulicos,NA,NA,NA,NA,99376,09/2024,1,4,8,1,0.34
286,Audi,R8,R8 4.2 V8,2011,Gasolina,Combustão,Cupê,2 anos,2,2,Médio,Importado,R$ 472.142 (09/2024),Injeção direta,Natural,8,em V,Duplo no cabeçote,Longitudinal,Central,"12,5:1",4,NA,Embreagem monodisco a seco,Automatizado,6,Integral permanente,235/40 R18,285/35 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,34",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,R-Tronic,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,472142,09/2024,2,4,6,1,0.34
287,Audi,R8 Spyder,R8 Spyder 5.2 V10,2011,Gasolina,Combustão,Conversível,2 anos,2,2,Médio,Importado,R$ 741.931 (09/2024),Injeção direta,Natural,10,em V,"Duplo no cabeçote, corrente",Longitudinal,Central,"12,5:1",4,Admissão e escape,Embreagem monodisco a seco,Automatizado,6,Integral permanente,235/35 R19,295/30 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,R-Tronic,NA,NA,NA,1,42,Hidráulicos,NA,NA,NA,NA,741931,09/2024,2,4,6,1,0.37
288,Audi,Rs 5,Rs 5 4.2 V8 Quattro S-Tronic,2011,Gasolina,Combustão,Cupê,2 anos,4,2,Médio,Importado,R$ 214.402 (09/2024),Injeção direta,Natural,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"12,3:1",4,NA,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,265/35 R19,265/35 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Eletro-hidráulica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,DSG DL501,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,214402,09/2024,2,4,7,1,0.33
289,Audi,S3,S3 Sportback 2.0 TFSi Quattro,2010,Gasolina,Combustão,Hatch,2 anos,5,4,Médio,Importado,R$ 115.733 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,"9,8:1",4,Admissão,Embreagem dupla banhada a óleo,Automatizado,6,Integral sob demanda,225/40 R18,225/40 R18,Disco ventilado,Disco ventilado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ35,DSG DQ250,NA,NA,EA888,2,NA,Hidráulicos,NA,NA,NA,NA,115733,09/2024,2,4,6,2,0.33
290,Audi,S4,S4 3.0 V6 TFSi Quattro,2012,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 150.273 (09/2024),Injeção direta e indireta multiponto,Compressor,6,em V,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"10,3:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral permanente,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,B8,DSG DL501,NA,NA,EA837,4,NA,Hidráulicos,NA,NA,NA,NA,150273,09/2024,2,4,7,4,0.29
291,Audi,S6 Avant,S6 Avant 5.2 V10 FSi Quattro,2011,Gasolina,Combustão,Perua,2 anos,5,4,Grande,Importado,R$ 207.451 (09/2024),Injeção direta,Natural,10,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"12,5:1",4,NA,Conversor de torque,Automático,6,Integral permanente,265/35 R19,265/35 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,34",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,C6,ZF 6HP,NA,NA,NA,3,NA,Hidráulicos,NA,NA,NA,NA,207451,09/2024,2,4,6,3,0.34
292,Audi,Tt,Tt 2.0 TFSi,2011,Gasolina,Combustão,Cupê,2 anos,4,2,Médio,Importado,R$ 67.985 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Transversal,Dianteiro,"10,3:1",4,Admissão,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,245/40 R18,245/40 R18,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",Elétrica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,PQ35,DSG DQ250,NA,NA,EA888,2,8J,Hidráulicos,NA,NA,NA,NA,67985,09/2024,2,4,6,2,0.3
293,Audi,A4 Avant,A4 Avant 2.0 TFSi,2010,Gasolina,Combustão,Perua,2 anos,5,4,Médio,Importado,R$ 63.231 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"9,6:1",4,Admissão e escape,Conversor de torque,CVT,8,Dianteira,225/55 R16,225/55 R16,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",Elétrica,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,EA888,4,B8,Hidráulicos,NA,NA,NA,NA,63231,09/2024,2,4,8,4,0.32
294,Audi,A5,A5 Sportback 2.0 TFSi,2010,Gasolina,Combustão,Sedã,2 anos,5,4,Médio,Importado,R$ 66.026 (09/2024),Injeção direta,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"9,6:1",4,Admissão e escape,Conversor de torque,CVT,8,Dianteira,225/50 R17,225/50 R17,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,NA,NA,NA,EA888,1,8T,Hidráulicos,NA,NA,NA,NA,66026,09/2024,2,4,8,1,0.29
295,Audi,A5 Coupe,A5 Coupe 3.2 V6 Quattro,2010,Gasolina,Combustão,Cupê,2 anos,4,2,Médio,Importado,R$ 86.806 (09/2024),Injeção direta,Natural,6,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"12,5:1",4,Admissão,Conversor de torque,Automático,6,Integral permanente,225/50 R17,225/50 R17,Disco ventilado,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB,ZF 6HP,NA,NA,NA,1,8T3,Hidráulicos,NA,NA,NA,NA,86806,09/2024,2,4,6,1,0.3
296,Audi,R8,R8 5.2 V10,2010,Gasolina,Combustão,Cupê,2 anos,2,2,Médio,Importado,R$ 521.562 (09/2024),Injeção direta,Natural,10,em V,"Duplo no cabeçote, corrente",Longitudinal,Central,"12,5:1",4,NA,Embreagem monodisco a seco,Automatizado,6,Integral permanente,235/35 R19,295/30 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,362",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,R-Tronic,NA,NA,NA,1,NA,Hidráulicos,NA,NA,NA,NA,521562,09/2024,2,4,6,1,0.362
297,Audi,Rs 6,Rs 6 5.0 V10 TFSi,2010,Gasolina,Combustão,Sedã,2 anos,5,4,Grande,Importado,R$ 368.085 (09/2024),Injeção direta,Turbocompressor,10,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,5:1",4,Admissão e escape,Conversor de torque,Automático,6,Integral permanente,275/35 R20,275/35 R20,Disco de carbono-cerâmica,Disco de carbono-cerâmica,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Eletro-hidráulica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,C6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,368085,09/2024,2,4,6,3,0.31
